UMAP1,UMAP2
12.05243,11.107198
8.554477,-1.5740321
10.6025,10.777447
-2.555187,9.120806
0.750111,8.471648
1.4537753,6.810025
5.780344,2.8019845
-0.00160254,10.215748
0.4140639,10.384712
-1.7784483,2.9672785
11.560416,7.6273837
12.536111,11.592532
8.1614895,-0.9288912
10.734554,7.9165545
12.539002,10.653876
-0.9238145,3.1122193
11.247031,8.538653
1.9380944,5.758873
8.414974,1.0523149
10.850698,8.048349
9.602912,11.268929
0.93681693,5.50642
1.4234465,7.3274612
-0.28853485,7.4218616
12.411564,8.637852
-1.0697107,3.5277903
-2.630144,8.796514
9.68095,11.369568
12.464669,8.174189
10.696771,9.025939
-1.9209217,7.7798586
8.243786,-0.8830293
10.661063,10.621777
8.627599,-1.1594082
1.4662938,6.841966
1.8097903,10.623667
6.0594864,1.4908283
11.702708,10.3482275
2.5534353,6.0947337
0.046778075,9.8402815
-2.5221,8.149045
0.6208958,10.31778
12.302725,11.861382
11.479861,7.5083194
-1.7269446,8.341306
1.4632747,5.871454
5.694126,3.045872
10.630207,11.36728
5.7581463,1.1007502
12.206167,11.897952
1.7005233,6.5716734
10.793743,11.363706
12.420024,11.224942
6.4731326,0.7410929
0.6075111,7.3480253
12.211104,10.770373
1.6812922,6.645873
6.343183,3.2024674
6.447957,3.0268857
10.682187,10.918319
-1.7489525,8.306142
-1.7279017,2.4042404
2.25644,7.2357187
1.4947218,7.079912
1.5180185,5.2825756
10.724672,10.835062
2.692519,6.2572813
-0.54218197,4.476189
10.815776,8.924519
5.654639,1.0287354
10.320947,11.412367
11.911545,11.451265
11.519355,7.524537
11.117737,9.270529
5.518124,1.3117908
-2.6441116,8.313971
1.8362502,10.69233
10.6916,9.016104
12.231316,11.193024
-0.7347991,2.6937418
-1.6886078,4.1077394
6.4049916,2.70336
10.845457,12.041706
-0.17249708,8.356081
7.672061,1.797159
0.5539666,9.292966
-2.4985652,9.203075
6.199917,3.0841866
7.989429,-1.6347635
10.669842,10.345079
10.888991,8.578906
7.150389,2.1043003
7.354595,1.9811074
3.004748,6.164634
10.621066,10.442664
9.751011,10.999678
